Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 1 - Academic - S1 S2] Career Day,11.03.2020,08:10,11.03.2020,17:45,BBA 6 - N4 MBA 2 a BBA 1 - SC - Concierge BBA 3 - K2 MBA 2 b (revenue) BBA 4 - M6 D. Adams V. Aiosi A. Andrioli M. Aston S. Avedisova F. Avila CDIP 1 R. Campione K. Carlson-Blatti S. Chib E. Crettenand B. Crettol S. Dahl A. Darioly Carroz J. Del Sol J. Di Donna D. Diamantis S. Dunn E. Ebiner I. Francis D. Fuchs A. Gamberoni P. Garcia D. Gardini R. Germanier W. Gerstkamp F. Gueuning B. Hassan D. Haubi G. Lana M. Leaney P. Macarrao B. McGlade S. McMath N. McMath J. Meehan M. Michaels E. Mottier B. Müller M. Ninan G. Qumsieh Q. Rachny E. Rachny A. Rosen A. Schirinzi S. Stead F. Stegmüller J. Van der Blom M. Varini E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship GB 5 BBA 3 - K1 BBA 4 - M1 BBA 4 - M2 MBA 1 MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 PGD BBA 1 - Academic - S1 S2 BBA 1 - SC - Rooms Division BBA 1 - Academic - S3 S4
[BBA 1 - Academic - S1 S2] Oenology,15.06.2020,10:15,15.06.2020,12:55,V. Aiosi BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Lunch,15.06.2020,13:00,15.06.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Professional Communication Skills,15.06.2020,13:55,15.06.2020,15:40,D. Haubi S. Stead BBA 1 - Academic - S1 S2,208 206
[BBA 1 - Academic - S1 S2] Introduction to Entrepreneurial Design,15.06.2020,16:00,15.06.2020,17:45,A. Gamberoni BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Professional Communication Skills,16.06.2020,10:15,16.06.2020,12:00,D. Haubi S. Stead BBA 1 - Academic - S1 S2,208 206
[BBA 1 - Academic - S1 S2] Lunch,16.06.2020,12:05,16.06.2020,13:50,BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Foreign Language/English,16.06.2020,13:55,16.06.2020,15:40,B. Crettol E. Crettenand A. Andrioli D. Fuchs J. Meehan BBA 1 - Academic - S1 S2 BBA 1 - Academic - S3 S4,205 EW 2 304 409 208
[BBA 1 - Academic - S1 S2] Introduction to Entrepreneurial Design,17.06.2020,08:10,17.06.2020,09:55,A. Gamberoni BBA 1 - Academic - S1 S2
[BBA 1 - Academic - S1 S2] Oenology,17.06.2020,10:15,17.06.2020,12:00,V. Aiosi BBA 1 - Academic - S1 S2
