Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 1 - SA1] Oenology,09.09.2019,10:15,09.09.2019,12:55,V. Aiosi BBA 1 - SA1,[ShelterBar]
[BBA 1 - SA1] Lunch,09.09.2019,13:00,09.09.2019,13:50,BBA 1 - SA1
[BBA 1 - SA1] Introduction to Entrepreneurial Design,10.09.2019,10:15,10.09.2019,12:00,A. Gamberoni BBA 1 - SA1,[308]
[BBA 1 - SA1] Lunch,10.09.2019,12:05,10.09.2019,13:50,BBA 1 - SA1
[BBA 1 - SA1] Professional Communication Skills,10.09.2019,13:55,10.09.2019,15:40,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,EW 2 206 208
[BBA 1 - SA1] Professional Communication Skills,11.09.2019,08:10,11.09.2019,09:55,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,EW 2 206 208
[BBA 1 - SA1] Foreign Language/English,11.09.2019,10:15,11.09.2019,12:00,E. Crettenand S. Dunn D. Haubi BBA 1 - SA1 BBA 1 - SA2,EW 2 EW 1 304
[BBA 1 - SA1] Lunch,11.09.2019,12:05,11.09.2019,12:55,BBA 1 - SA1
[BBA 1 - SA1] Oenology,11.09.2019,13:00,11.09.2019,14:45,V. Aiosi BBA 1 - SA1,[ShelterBar]
[BBA 1 - SA1] Numerical Skills for the Hospitality Professional,11.09.2019,14:50,11.09.2019,16:50,I. Francis BBA 1 - SA1,[NW1.2]
[BBA 1 - SA1] Numerical Skills for the Hospitality Professional,12.09.2019,10:15,12.09.2019,12:00,I. Francis BBA 1 - SA1,[208]
[BBA 1 - SA1] Lunch,12.09.2019,12:05,12.09.2019,12:55,BBA 1 - SA1
[BBA 1 - SA1] Professional Communication Skills,12.09.2019,13:00,12.09.2019,14:45,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,EW 2 206 208
[BBA 1 - SA1] Foreign Language/English,12.09.2019,14:50,12.09.2019,16:50,E. Crettenand S. Dunn D. Haubi BBA 1 - SA1 BBA 1 - SA2,EW 2 EW 1 304
[BBA 1 - SA1] Introduction to Entrepreneurial Design,13.09.2019,08:10,13.09.2019,09:55,A. Gamberoni BBA 1 - SA1,[206]
[BBA 1 - SA1] Professional Communication Skills,13.09.2019,10:15,13.09.2019,12:00,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,EW 2 206 208
[BBA 1 - SA1] Lunch,13.09.2019,12:05,13.09.2019,12:55,BBA 1 - SA1
[BBA 1 - SA1] Foreign Language/English,13.09.2019,13:00,13.09.2019,14:45,E. Crettenand S. Dunn D. Haubi BBA 1 - SA1 BBA 1 - SA2,EW 2 EW 1 304
[BBA 1 - SA1] Oenology,16.09.2019,10:15,16.09.2019,12:55,V. Aiosi BBA 1 - SA1,[ShelterBar]
[BBA 1 - SA1] Lunch,16.09.2019,13:00,16.09.2019,13:50,BBA 1 - SA1
[BBA 1 - SA1] Business Photo,17.09.2019,09:05,17.09.2019,09:55,BBA 1 - SA1 Misc. Staff,[212]
[BBA 1 - SA1] Introduction to Entrepreneurial Design,17.09.2019,10:15,17.09.2019,12:00,A. Gamberoni BBA 1 - SA1,[308]
[BBA 1 - SA1] Lunch,17.09.2019,12:05,17.09.2019,13:50,BBA 1 - SA1
[BBA 1 - SA1] Professional Communication Skills,17.09.2019,13:55,17.09.2019,15:40,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,EW 2 206 208
[BBA 1 - SA1] Professional Communication Skills,18.09.2019,08:10,18.09.2019,09:55,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,EW 2 206 208
[BBA 1 - SA1] Foreign Language/English,18.09.2019,10:15,18.09.2019,12:00,E. Crettenand S. Dunn D. Haubi BBA 1 - SA1 BBA 1 - SA2,EW 2 EW 1 304
[BBA 1 - SA1] Lunch,18.09.2019,12:05,18.09.2019,12:55,BBA 1 - SA1
[BBA 1 - SA1] Oenology,18.09.2019,13:00,18.09.2019,14:45,V. Aiosi BBA 1 - SA1,[ShelterBar]
[BBA 1 - SA1] Numerical Skills for the Hospitality Professional,18.09.2019,14:50,18.09.2019,16:50,I. Francis BBA 1 - SA1,[305]
[BBA 1 - SA1] Numerical Skills for the Hospitality Professional,19.09.2019,10:15,19.09.2019,12:00,I. Francis BBA 1 - SA1,[208]
[BBA 1 - SA1] Lunch,19.09.2019,12:05,19.09.2019,12:55,BBA 1 - SA1
[BBA 1 - SA1] Professional Communication Skills,19.09.2019,13:00,19.09.2019,14:45,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,EW 2 206 208
[BBA 1 - SA1] Foreign Language/English,19.09.2019,14:50,19.09.2019,16:50,E. Crettenand S. Dunn D. Haubi BBA 1 - SA1 BBA 1 - SA2,EW 2 EW 1 304
[BBA 1 - SA1] Introduction to Entrepreneurial Design,20.09.2019,08:10,20.09.2019,09:55,A. Gamberoni BBA 1 - SA1,[206]
[BBA 1 - SA1] Professional Communication Skills,20.09.2019,10:15,20.09.2019,12:00,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,EW 2 206 208
[BBA 1 - SA1] Lunch,20.09.2019,12:05,20.09.2019,12:55,BBA 1 - SA1
[BBA 1 - SA1] Foreign Language/English,20.09.2019,13:00,20.09.2019,14:45,E. Crettenand S. Dunn D. Haubi BBA 1 - SA1 BBA 1 - SA2,EW 2 EW 1 304
[BBA 1 - SA1] Oenology,23.09.2019,10:15,23.09.2019,12:55,V. Aiosi BBA 1 - SA1,[ShelterBar]
[BBA 1 - SA1] Lunch,23.09.2019,13:00,23.09.2019,13:50,BBA 1 - SA1
[BBA 1 - SA1] Introduction to Entrepreneurial Design,24.09.2019,10:15,24.09.2019,12:00,A. Gamberoni BBA 1 - SA1,[308]
[BBA 1 - SA1] Lunch,24.09.2019,12:05,24.09.2019,13:50,BBA 1 - SA1
[BBA 1 - SA1] Professional Communication Skills,24.09.2019,13:55,24.09.2019,15:40,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,212 206 208
[BBA 1 - SA1] Les Roches Accreditation - Open Information Sessions,24.09.2019,16:00,24.09.2019,16:50,BBA 1 - SA1 BBA 1 - SA2 BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5 GB 5/7 GB 7 BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M2 BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,LT 2
[BBA 1 - SA1] Professional Communication Skills,25.09.2019,08:10,25.09.2019,09:55,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,212 206 208
[BBA 1 - SA1] Foreign Language/English,25.09.2019,10:15,25.09.2019,12:00,E. Crettenand S. Dunn D. Haubi BBA 1 - SA1 BBA 1 - SA2,EW 2 EW 1 304
[BBA 1 - SA1] Lunch,25.09.2019,12:05,25.09.2019,12:55,BBA 1 - SA1
[BBA 1 - SA1] Oenology,25.09.2019,13:00,25.09.2019,14:45,V. Aiosi BBA 1 - SA1,[ShelterBar]
[BBA 1 - SA1] Numerical Skills for the Hospitality Professional,25.09.2019,14:50,25.09.2019,16:50,I. Francis BBA 1 - SA1,[NW1.1]
[BBA 1 - SA1] Numerical Skills for the Hospitality Professional,26.09.2019,10:15,26.09.2019,12:00,I. Francis BBA 1 - SA1,[208]
[BBA 1 - SA1] Lunch,26.09.2019,12:05,26.09.2019,12:55,BBA 1 - SA1
[BBA 1 - SA1] Professional Communication Skills,26.09.2019,13:00,26.09.2019,14:45,E. Crettenand D. Haubi J. Meehan BBA 1 - SA1 BBA 1 - SA2,212 206 208
