Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 1 - SC - Rooms Division] Career Day,11.03.2020,08:10,11.03.2020,17:45,BBA 6 - N4 MBA 2 a BBA 1 - SC - Concierge BBA 3 - K2 MBA 2 b (revenue) BBA 4 - M6 D. Adams V. Aiosi A. Andrioli M. Aston S. Avedisova F. Avila CDIP 1 R. Campione K. Carlson-Blatti S. Chib E. Crettenand B. Crettol S. Dahl A. Darioly Carroz J. Del Sol J. Di Donna D. Diamantis S. Dunn E. Ebiner I. Francis D. Fuchs A. Gamberoni P. Garcia D. Gardini R. Germanier W. Gerstkamp F. Gueuning B. Hassan D. Haubi G. Lana M. Leaney P. Macarrao B. McGlade S. McMath N. McMath J. Meehan M. Michaels E. Mottier B. Müller M. Ninan G. Qumsieh Q. Rachny E. Rachny A. Rosen A. Schirinzi S. Stead F. Stegmüller J. Van der Blom M. Varini E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship GB 5 BBA 3 - K1 BBA 4 - M1 BBA 4 - M2 MBA 1 MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 PGD BBA 1 - Academic - S1 S2 BBA 1 - SC - Rooms Division BBA 1 - Academic - S3 S4
[BBA 1 - SC - Rooms Division] Professional Communication Skills,19.03.2020,13:55,19.03.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Professional Communication Skills,26.03.2020,13:55,26.03.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Professional Communication Skills,02.04.2020,13:55,02.04.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Professional Communication Skills,09.04.2020,13:55,09.04.2020,15:40,D. Haubi S. Stead BBA 1 - SC - Rooms Division,208 206
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,20.04.2020,10:15,20.04.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,20.04.2020,13:00,20.04.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,20.04.2020,14:50,20.04.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Foreign Language/English,21.04.2020,08:10,21.04.2020,09:55,B. Crettol D. Fuchs BBA 1 - SC - Rooms Division BBA 1 - SC - Concierge,205 409
[BBA 1 - SC - Rooms Division] Roooms Division Hospitality,21.04.2020,10:15,21.04.2020,12:00,D. Gardini BBA 1 - SC - Rooms Division
[BBA 1 - SC - Rooms Division] Property Management Systems,21.04.2020,13:00,21.04.2020,14:45,B. McGlade BBA 1 - SC - Rooms Division,410
[BBA 1 - SC - Rooms Division] Front Office Practical,21.04.2020,14:50,21.04.2020,16:50,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
[BBA 1 - SC - Rooms Division] Front Office Practical,22.04.2020,08:10,22.04.2020,09:55,B. Müller BBA 1 - SC - Rooms Division,Petit Roches
