Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[R. Campione] Revenue and Pricing Management,10.09.2019,12:05,10.09.2019,13:50,R. Campione BBA 6 - N4,[NW1.2]
[R. Campione] Meeting,10.09.2019,16:00,10.09.2019,17:45
[R. Campione] Revenue and Pricing Management,11.09.2019,11:10,11.09.2019,12:55,R. Campione BBA 6 - N1,[305]
[R. Campione] Revenue and Pricing Management,11.09.2019,13:55,11.09.2019,15:40,R. Campione GB 5,[NW3.2]
[R. Campione] Revenue and Pricing Management,11.09.2019,16:00,11.09.2019,17:45,R. Campione BBA 6 - N3,[NW3.2]
[R. Campione] Hospitality Revenue Management,12.09.2019,11:10,12.09.2019,12:55,R. Campione PGDa,[NW3.1]
[R. Campione] Revenue and Pricing Management,12.09.2019,13:55,12.09.2019,15:40,R. Campione BBA 6 - N2,[LT2]
[R. Campione] Hospitality Revenue Management,12.09.2019,16:00,12.09.2019,17:45,R. Campione PGDb,[212]
[R. Campione] Revenue and Pricing Management,13.09.2019,11:10,13.09.2019,12:00,R. Campione GB 5,[304]
[R. Campione] Revenue and Pricing Management,13.09.2019,13:00,13.09.2019,13:50,R. Campione BBA 6 - N1,[305]
[R. Campione] Revenue and Pricing Management,13.09.2019,13:55,13.09.2019,14:45,R. Campione BBA 6 - N2,[305]
[R. Campione] Revenue and Pricing Management,13.09.2019,14:50,13.09.2019,15:40,R. Campione BBA 6 - N3,[305]
[R. Campione] Revenue and Pricing Management,13.09.2019,16:00,13.09.2019,16:50,R. Campione BBA 6 - N4,[305]
[R. Campione] Revenue and Pricing Management,16.09.2019,13:55,16.09.2019,15:40,R. Campione BBA 6 - N4,[NW1.2]
[R. Campione] Hospitality Revenue Management,17.09.2019,11:10,17.09.2019,12:55,R. Campione PGDb,[213]
[R. Campione] Hospitality Revenue Management,17.09.2019,13:55,17.09.2019,15:40,R. Campione PGDa,[308]
[R. Campione] Meeting,17.09.2019,16:00,17.09.2019,17:45
[R. Campione] Revenue and Pricing Management,18.09.2019,11:10,18.09.2019,12:55,R. Campione BBA 6 - N1,[305]
[R. Campione] Revenue and Pricing Management,18.09.2019,13:55,18.09.2019,15:40,R. Campione GB 5,[NW3.2]
[R. Campione] Revenue and Pricing Management,18.09.2019,16:00,18.09.2019,17:45,R. Campione BBA 6 - N3,[NW3.2]
[R. Campione] Hospitality Revenue Management,19.09.2019,11:10,19.09.2019,12:00,R. Campione PGDa,[NW3.1]
[R. Campione] Revenue and Pricing Management,19.09.2019,13:00,19.09.2019,14:45,R. Campione BBA 6 - N2,[NW3.1]
[R. Campione] Hospitality Revenue Management,19.09.2019,16:55,19.09.2019,17:45,R. Campione PGDb,[EW8]
[R. Campione] Revenue and Pricing Management,20.09.2019,11:10,20.09.2019,12:00,R. Campione GB 5,[304]
[R. Campione] Revenue and Pricing Management,20.09.2019,13:00,20.09.2019,13:50,R. Campione BBA 6 - N1,[305]
[R. Campione] Revenue and Pricing Management,20.09.2019,13:55,20.09.2019,14:45,R. Campione BBA 6 - N2,[305]
[R. Campione] Revenue and Pricing Management,20.09.2019,14:50,20.09.2019,15:40,R. Campione BBA 6 - N3,[305]
[R. Campione] Revenue and Pricing Management,20.09.2019,16:00,20.09.2019,16:50,R. Campione BBA 6 - N4,[305]
[R. Campione] Revenue and Pricing Management,23.09.2019,13:55,23.09.2019,15:40,R. Campione BBA 6 - N4,[305]
[R. Campione] Hospitality Revenue Management,23.09.2019,16:55,23.09.2019,17:45,R. Campione PGDa,[NW3.1]
[R. Campione] Hospitality Revenue Management,24.09.2019,11:10,24.09.2019,12:55,R. Campione PGDb,[212]
[R. Campione] Meeting,24.09.2019,16:00,24.09.2019,17:45
