Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[CDIP 1] Career Development Journey,18.09.2019,08:10,18.09.2019,17:45,CDIP 1 PGDa PGDb,[LT1]
[CDIP 1] Advanced Interview Skills,24.09.2019,16:00,24.09.2019,17:45,BBA 4 - M1 CDIP 1,[NW3.2]
[CDIP 1] Career Development Journey,27.09.2019,08:10,27.09.2019,17:45,MBA 1 CDIP 1,[NW1.2]
[CDIP 1] Advanced Interview Skills,01.10.2019,16:00,01.10.2019,17:45,BBA 4 - M2 CDIP 1,[NW3.2]
[CDIP 1] Preparation for Career Day,07.10.2019,12:05,07.10.2019,12:55,MBA 2 a MBA 2 b CDIP 1,[309]
[CDIP 1] Preparation for Career Day,07.10.2019,13:00,07.10.2019,13:50,BBA 6 - N4 CDIP 1,[NW2.1]
[CDIP 1] Preparation for Career Day,07.10.2019,13:55,07.10.2019,14:45,BBA 7 - G4 Entrepreneurship CDIP 1,[NW2.1]
[CDIP 1] Preparation for Career Day,07.10.2019,16:00,07.10.2019,16:50,BBA 3 - K6 CDIP 1,[305]
[CDIP 1] Preparation for Career Day,08.10.2019,11:10,08.10.2019,12:00,BBA 3 - K2 CDIP 1,[NW1.1]
[CDIP 1] Preparation for Career Day,08.10.2019,13:00,08.10.2019,13:50,BBA 4 - M2 CDIP 1,[NW1.1]
[CDIP 1] Preparation for Career Day,08.10.2019,14:50,08.10.2019,15:40,BBA 7 - G6 Entrepreneurship CDIP 1,[NW2.2]
[CDIP 1] Preparation for Career Day,09.10.2019,10:15,09.10.2019,11:05,BBA 3 - K1 CDIP 1,[LT1]
[CDIP 1] Preparation for Career Day,09.10.2019,11:10,09.10.2019,12:00,BBA 7 - G1 Finance CDIP 1,[LT1]
[CDIP 1] Preparation for Career Day,09.10.2019,13:55,09.10.2019,14:45,BBA 7 - G3 Marketing CDIP 1,[NW1.1]
[CDIP 1] Preparation for Career Day,09.10.2019,16:00,09.10.2019,16:50,BBA 6 - N1 CDIP 1,[NW1.1]
[CDIP 1] Preparation for Career Day,10.10.2019,10:15,10.10.2019,11:05,BBA 3 - K4 CDIP 1,[NW1.1]
[CDIP 1] Preparation for Career Day,10.10.2019,11:10,10.10.2019,12:00,GB 7 CDIP 1,[NW1.1]
[CDIP 1] Preparation for Career Day,10.10.2019,13:00,10.10.2019,13:50,BBA 7 - G5 Entrepreneurship CDIP 1,[303]
[CDIP 1] Preparation for Career Day,10.10.2019,14:50,10.10.2019,15:40,BBA 3 - K3 CDIP 1,[309]
[CDIP 1] Preparation for Career Day,10.10.2019,16:55,10.10.2019,17:45,BBA 7 - G2 Finance CDIP 1,[309]
[CDIP 1] Preparation for Career Day,11.10.2019,09:05,11.10.2019,09:55,BBA 6 - N2 CDIP 1,[NW3.1]
[CDIP 1] Preparation for Career Day,11.10.2019,10:15,11.10.2019,11:05,GB 5 GB 5/7 CDIP 1,[NW3.1]
[CDIP 1] Preparation for Career Day,11.10.2019,11:10,11.10.2019,12:00,BBA 3 - K5 CDIP 1,[NW3.1]
[CDIP 1] Preparation for Career Day,11.10.2019,13:55,11.10.2019,14:45,BBA 6 - N3 CDIP 1,[NW3.1]
[CDIP 1] Preparation for Career Day,11.10.2019,14:50,11.10.2019,15:40,BBA 4 - M1 CDIP 1,[NW3.1]
[CDIP 1] Career Day Discussion Panel - Sign up on Simplicity,14.10.2019,16:00,14.10.2019,17:45,BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship MBA 1 MBA1-2 MBA 2 a MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 PGDa PGDb CDIP 1
[CDIP 1] Career Day,15.10.2019,08:10,15.10.2019,17:45,BBA 7 - G2 Finance BBA 6 - N4 MBA1-2 PGDb BBA 7 - G6 Entrepreneurship MBA 2 a BBA 1 - SC - Concierge GB 5/7 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 J. Cunningham D. Adams V. Aiosi A. Andrioli S. Avedisova F. Avila CDIP 1 R. Campione K. Carlson-Blatti S. Chib E. Crettenand B. Crettol A. Darioly Carroz J. Del Sol J. Di Donna D. Diamantis S. Dunn E. Ebiner I. Francis D. Fuchs A. Gamberoni P. Garcia D. Gardini R. Germanier W. Gerstkamp F. Gueuning B. Hassan D. Haubi P. Hodgson G. Lana M. Leaney P. Macarrao B. McGlade S. McMath N. McMath J. Meehan M. Michaels E. Mottier B. Müller M. Ninan R. Puhr G. Qumsieh Q. Rachny E. Rachny A. Rosen A. Schirinzi S. Stead F. Stegmüller J. Van der Blom E. Varini M. Varini E. Wong BBA 7 - G1 Finance BBA 7 - G3 Marketing BBA 7 - G5 Entrepreneurship BBA 7 - G4 Entrepreneurship GB 7 GB 5 BBA 3 - K1 BBA 4 - M1 BBA 4 - M2 MBA 1 MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 PGDa BBA 1 - SA1 BBA 1 - SC - Rooms Division BBA 1 - SA2
[CDIP 1] INT 5208 - Corporate Social Responsibility,02.12.2019,16:00,02.12.2019,17:45,BBA 4 - M1 CDIP 1,[305]
[CDIP 1] INT 5208 - Corporate Social Responsibility,05.12.2019,14:50,05.12.2019,16:50,BBA 4 - M2 CDIP 1,[305]
[CDIP 1] INT 2209 - Briefing,10.12.2019,08:10,10.12.2019,09:55,BBA 1 - SA1 BBA 1 - SA2 CDIP 1,[303]
[CDIP 1] INT 5208 Information Session,19.12.2019,14:50,19.12.2019,15:40,BBA 4 - M1 BBA 4 - M2 CDIP 1,303
[CDIP 1] Compulsory Internship Briefing,20.01.2020,09:05,20.01.2020,09:55,BBA 1 - SA1 BBA 1 - SA2 BBA 1 - SC - Rooms Division CDIP 1 R. Puhr,[LT1]
