Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G1 Finance Group 2] Lunch,17.02.2020,12:05,17.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives,17.02.2020,14:50,17.02.2020,17:45,B. Hassan G. Qumsieh BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3 205
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),18.02.2020,09:05,18.02.2020,12:00,B. Hassan G. Qumsieh BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2 206
[BBA 7 - G1 Finance Group 2] Lunch,18.02.2020,12:05,18.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,18.02.2020,13:55,18.02.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,19.02.2020,08:10,19.02.2020,09:55,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar 206 208 303
[BBA 7 - G1 Finance Group 2] Welcome back to LRCM - Mandatory Presence,19.02.2020,10:15,19.02.2020,11:05,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship Misc. Staff,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,19.02.2020,11:10,19.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,19.02.2020,14:50,19.02.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,19.02.2020,16:00,19.02.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,20.02.2020,08:10,20.02.2020,11:05,A. Gamberoni M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar 208 303
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,20.02.2020,11:10,20.02.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,20.02.2020,12:05,20.02.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,20.02.2020,13:00,20.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,20.02.2020,13:55,20.02.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,21.02.2020,08:10,21.02.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,21.02.2020,11:10,21.02.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,21.02.2020,12:05,21.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),24.02.2020,09:05,24.02.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,24.02.2020,12:05,24.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),24.02.2020,14:50,24.02.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),25.02.2020,09:05,25.02.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,25.02.2020,12:05,25.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,25.02.2020,13:55,25.02.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,26.02.2020,08:10,26.02.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,26.02.2020,11:10,26.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,26.02.2020,14:50,26.02.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,26.02.2020,16:00,26.02.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,27.02.2020,08:10,27.02.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,27.02.2020,11:10,27.02.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,27.02.2020,12:05,27.02.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[212]
[BBA 7 - G1 Finance Group 2] Lunch,27.02.2020,13:00,27.02.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,27.02.2020,13:55,27.02.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,28.02.2020,08:10,28.02.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,28.02.2020,11:10,28.02.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,28.02.2020,12:05,28.02.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),02.03.2020,09:05,02.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,02.03.2020,12:05,02.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),02.03.2020,14:50,02.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),03.03.2020,09:05,03.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,03.03.2020,12:05,03.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,03.03.2020,13:55,03.03.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,04.03.2020,08:10,04.03.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,04.03.2020,11:10,04.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,04.03.2020,14:50,04.03.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,04.03.2020,16:00,04.03.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,05.03.2020,08:10,05.03.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,05.03.2020,11:10,05.03.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,05.03.2020,12:05,05.03.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,05.03.2020,13:00,05.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,05.03.2020,13:55,05.03.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,06.03.2020,08:10,06.03.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,06.03.2020,11:10,06.03.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,06.03.2020,12:05,06.03.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),09.03.2020,09:05,09.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,09.03.2020,12:05,09.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),09.03.2020,14:50,09.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),10.03.2020,09:05,10.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,10.03.2020,12:05,10.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,10.03.2020,13:55,10.03.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] Lunch,11.03.2020,11:10,11.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] General Education,12.03.2020,08:10,12.03.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,12.03.2020,11:10,12.03.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,12.03.2020,12:05,12.03.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,12.03.2020,13:00,12.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,12.03.2020,13:55,12.03.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,13.03.2020,08:10,13.03.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,13.03.2020,11:10,13.03.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,13.03.2020,12:05,13.03.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),16.03.2020,09:05,16.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,16.03.2020,12:05,16.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),16.03.2020,14:50,16.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),17.03.2020,09:05,17.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,17.03.2020,12:05,17.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,17.03.2020,13:55,17.03.2020,14:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,18.03.2020,08:10,18.03.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,18.03.2020,11:10,18.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,18.03.2020,14:50,18.03.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,18.03.2020,16:00,18.03.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,19.03.2020,08:10,19.03.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,19.03.2020,11:10,19.03.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,19.03.2020,12:05,19.03.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Lunch,19.03.2020,13:00,19.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,19.03.2020,13:55,19.03.2020,15:40,M. Michaels BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2,[303]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,20.03.2020,08:10,20.03.2020,09:55,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Global Financing and Risk Management  Strategies,20.03.2020,11:10,20.03.2020,12:00,BBA 7 - G1 Finance Group 2 J. Dang,[LT2]
[BBA 7 - G1 Finance Group 2] Lunch,20.03.2020,12:05,20.03.2020,12:55,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),23.03.2020,09:05,23.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G1 Finance Group 2] Lunch,23.03.2020,12:05,23.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5209),23.03.2020,14:50,23.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G1 Finance Group 2] Hospitality Electives (5208 & 5210),24.03.2020,09:05,24.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G1 Finance Group 2] Lunch,24.03.2020,12:05,24.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,24.03.2020,13:55,24.03.2020,15:40,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 S. McMath,[308]
[BBA 7 - G1 Finance Group 2] General Education,25.03.2020,08:10,25.03.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G1 Finance Group 2] Lunch,25.03.2020,11:10,25.03.2020,13:50,BBA 7 - G1 Finance Group 2
[BBA 7 - G1 Finance Group 2] Performance Management,25.03.2020,14:50,25.03.2020,15:40,S. McMath BBA 7 - G1 Finance Group 2,[308]
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,25.03.2020,16:00,25.03.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] General Education,26.03.2020,08:10,26.03.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G1 Finance Group 2] Corporate Financial Decision Making,26.03.2020,11:10,26.03.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[BBA 7 - G1 Finance Group 2] Hospitality Financial Forecasting and Modelling,26.03.2020,12:05,26.03.2020,12:55,M. Michaels BBA 7 - G1 Finance Group 2,[303]
