Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G2 Finance] Hospitality Electives (5209 & 5210),09.09.2019,14:50,09.09.2019,17:45,G. Qumsieh B. Hassan BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Finance] Hospitality Electives (5208 & 5210),10.09.2019,09:05,10.09.2019,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,NW 2.2 LT 1
[BBA 7 - G2 Finance] Lunch,10.09.2019,12:05,10.09.2019,13:50,BBA 7 - G2 Finance
[BBA 7 - G2 Finance] Corporate Financial Decision Making,10.09.2019,13:55,10.09.2019,15:40,BBA 7 - G2 Finance A. Rosen,[NW2.2]
[BBA 7 - G2 Finance] Performance Management,11.09.2019,11:10,11.09.2019,12:55,BBA 7 - G2 Finance S. McMath,[303]
[BBA 7 - G2 Finance] Lunch,11.09.2019,13:00,11.09.2019,13:50,BBA 7 - G2 Finance
[BBA 7 - G2 Finance] General Education,11.09.2019,14:50,11.09.2019,17:45,J. Cunningham E. Wong BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing,Shelter Bar NW 3.1
[BBA 7 - G2 Finance] General Education,12.09.2019,08:10,12.09.2019,11:05,R. Germanier M. Ninan J. Cunningham E. Wong BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5/7 GB 7,NW 3.2 NW 2.2 213 NW 3.1
[BBA 7 - G2 Finance] Town Hall - Mandatory Presence,12.09.2019,11:10,12.09.2019,12:00,BBA 7 - G1 Finance BBA 7 - G2 Finance GB 7 MBA 2 b,LT 2
[BBA 7 - G2 Finance] Hospitality Financial Forecasting and Modelling,12.09.2019,13:00,12.09.2019,14:45,M. Michaels BBA 7 - G1 Finance BBA 7 - G2 Finance,[LT1]
[BBA 7 - G2 Finance] Performance Management,12.09.2019,14:50,12.09.2019,15:40,BBA 7 - G2 Finance S. McMath,[303]
[BBA 7 - G2 Finance] Hospitality Financial Forecasting and Modelling,12.09.2019,16:00,12.09.2019,16:50,M. Michaels BBA 7 - G2 Finance,[309]
[BBA 7 - G2 Finance] Global Financing and Risk Management  Strategies,13.09.2019,08:10,13.09.2019,09:55,BBA 7 - G1 Finance BBA 7 - G2 Finance J. Dang,[LT1]
[BBA 7 - G2 Finance] Global Financing and Risk Management  Strategies,13.09.2019,10:15,13.09.2019,11:05,BBA 7 - G2 Finance J. Dang,[LT1]
[BBA 7 - G2 Finance] Corporate Financial Decision Making,13.09.2019,11:10,13.09.2019,12:00,BBA 7 - G2 Finance A. Rosen,[309]
[BBA 7 - G2 Finance] Lunch,13.09.2019,12:05,13.09.2019,12:55,BBA 7 - G2 Finance
[BBA 7 - G2 Finance] Business Photo,16.09.2019,09:05,16.09.2019,09:55,BBA 7 - G2 Finance Misc. Staff,[212]
[BBA 7 - G2 Finance] Hospitality Electives (5208),16.09.2019,10:15,16.09.2019,12:55,B. Hassan BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,LT 1
[BBA 7 - G2 Finance] Lunch,16.09.2019,13:00,16.09.2019,13:50,BBA 7 - G2 Finance
[BBA 7 - G2 Finance] Hospitality Electives (5209 & 5210),16.09.2019,14:50,16.09.2019,17:45,G. Qumsieh B. Hassan BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Finance] Hospitality Electives (5208 & 5210),17.09.2019,09:05,17.09.2019,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,NW 2.2 LT 1
[BBA 7 - G2 Finance] Lunch,17.09.2019,12:05,17.09.2019,13:50,BBA 7 - G2 Finance
[BBA 7 - G2 Finance] Corporate Financial Decision Making,17.09.2019,13:55,17.09.2019,15:40,BBA 7 - G2 Finance A. Rosen,[309]
[BBA 7 - G2 Finance] Performance Management,18.09.2019,11:10,18.09.2019,12:55,BBA 7 - G2 Finance S. McMath,[303]
[BBA 7 - G2 Finance] Lunch,18.09.2019,13:00,18.09.2019,13:50,BBA 7 - G2 Finance
[BBA 7 - G2 Finance] General Education,18.09.2019,14:50,18.09.2019,17:45,J. Cunningham E. Wong BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing,Shelter Bar NW 3.1
[BBA 7 - G2 Finance] General Education,19.09.2019,08:10,19.09.2019,11:05,R. Germanier M. Ninan J. Cunningham E. Wong BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5/7 GB 7,NW 3.2 NW 2.2 213 NW 3.1
[BBA 7 - G2 Finance] Hospitality Financial Forecasting and Modelling,19.09.2019,11:10,19.09.2019,12:55,M. Michaels BBA 7 - G1 Finance BBA 7 - G2 Finance,[309]
[BBA 7 - G2 Finance] Lunch,19.09.2019,13:00,19.09.2019,13:50,BBA 7 - G2 Finance
[BBA 7 - G2 Finance] Performance Management,19.09.2019,14:50,19.09.2019,15:40,BBA 7 - G2 Finance S. McMath,[303]
[BBA 7 - G2 Finance] Hospitality Financial Forecasting and Modelling,19.09.2019,16:00,19.09.2019,16:50,M. Michaels BBA 7 - G2 Finance,[309]
[BBA 7 - G2 Finance] Global Financing and Risk Management  Strategies,20.09.2019,08:10,20.09.2019,09:55,BBA 7 - G1 Finance BBA 7 - G2 Finance J. Dang,[LT1]
[BBA 7 - G2 Finance] Global Financing and Risk Management  Strategies,20.09.2019,10:15,20.09.2019,11:05,BBA 7 - G2 Finance J. Dang,[LT1]
[BBA 7 - G2 Finance] Corporate Financial Decision Making,20.09.2019,11:10,20.09.2019,12:00,BBA 7 - G2 Finance A. Rosen,[309]
[BBA 7 - G2 Finance] Lunch,20.09.2019,12:05,20.09.2019,12:55,BBA 7 - G2 Finance
[BBA 7 - G2 Finance] Hospitality Electives (5208),23.09.2019,10:15,23.09.2019,12:55,B. Hassan BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,LT 1
[BBA 7 - G2 Finance] Lunch,23.09.2019,13:00,23.09.2019,13:50,BBA 7 - G2 Finance
