Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G5 Entrepreneurship] Hospitality Electives (5209 & 5210),09.09.2019,14:50,09.09.2019,17:45,G. Qumsieh B. Hassan BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G5 Entrepreneurship] Entrepreneurship Stream Inforamtion,10.09.2019,08:10,10.09.2019,09:00,BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship F. Avila S. Chib B. Hassan P. Hodgson G. Qumsieh,LT 1
[BBA 7 - G5 Entrepreneurship] Hospitality Electives (5208 & 5210),10.09.2019,09:05,10.09.2019,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,NW 2.2 LT 1
[BBA 7 - G5 Entrepreneurship] Lunch,10.09.2019,12:05,10.09.2019,13:50,BBA 7 - G5 Entrepreneurship
[BBA 7 - G5 Entrepreneurship] Hospitality Financial Forecasting and Modelling,11.09.2019,09:05,11.09.2019,11:05,BBA 7 - G5 Entrepreneurship P. Hodgson,[NW1.2]
[BBA 7 - G5 Entrepreneurship] Lunch,11.09.2019,11:10,11.09.2019,12:00,BBA 7 - G5 Entrepreneurship
[BBA 7 - G5 Entrepreneurship] Digital Marketing and Content Creation,11.09.2019,12:05,11.09.2019,13:50,BBA 7 - G5 Entrepreneurship B. Hassan,[212]
[BBA 7 - G5 Entrepreneurship] General Education,12.09.2019,08:10,12.09.2019,11:05,R. Germanier M. Ninan J. Cunningham E. Wong BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5/7 GB 7,NW 3.2 NW 2.2 213 NW 3.1
[BBA 7 - G5 Entrepreneurship] Town Hall - Mandatory Presence,12.09.2019,11:10,12.09.2019,12:00,BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,LT 1
[BBA 7 - G5 Entrepreneurship] Lunch,12.09.2019,12:05,12.09.2019,12:55,BBA 7 - G5 Entrepreneurship
[BBA 7 - G5 Entrepreneurship] Projects_ Ethics and Legal Considerations,12.09.2019,13:00,12.09.2019,14:45,BBA 7 - G5 Entrepreneurship G. Qumsieh,[NW3.2]
[BBA 7 - G5 Entrepreneurship] General Education,12.09.2019,14:50,12.09.2019,17:45,J. Cunningham BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship,Shelter Bar
