Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[A. Gamberoni] Introduction to Entrepreneurial Design,09.09.2019,10:15,09.09.2019,12:00,A. Gamberoni BBA 1 - SA2,[207]
[A. Gamberoni] Introduction to Entrepreneurial Design,10.09.2019,10:15,10.09.2019,12:00,A. Gamberoni BBA 1 - SA1,[308]
[A. Gamberoni] Meeting,10.09.2019,16:00,10.09.2019,17:45
[A. Gamberoni] Introduction to Entrepreneurial Design,11.09.2019,13:55,11.09.2019,15:40,A. Gamberoni BBA 1 - SA2,[206]
[A. Gamberoni] Food and Beverage Management and Cost Control,11.09.2019,16:00,11.09.2019,17:45,A. Gamberoni BBA 4 - M2,[205]
[A. Gamberoni] Introduction to Entrepreneurial Design,13.09.2019,08:10,13.09.2019,09:55,A. Gamberoni BBA 1 - SA1,[206]
[A. Gamberoni] Food and Beverage Management and Cost Control,13.09.2019,13:00,13.09.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[A. Gamberoni] Introduction to Entrepreneurial Design,16.09.2019,10:15,16.09.2019,12:00,A. Gamberoni BBA 1 - SA2,[207]
[A. Gamberoni] Integrated Project ,16.09.2019,14:50,16.09.2019,17:45,A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[A. Gamberoni] Introduction to Entrepreneurial Design,17.09.2019,10:15,17.09.2019,12:00,A. Gamberoni BBA 1 - SA1,[308]
[A. Gamberoni] Meeting,17.09.2019,16:00,17.09.2019,17:45
[A. Gamberoni] Food and Beverage Management and Cost Control,18.09.2019,10:15,18.09.2019,12:00,A. Gamberoni BBA 4 - M2,[205]
[A. Gamberoni] Introduction to Entrepreneurial Design,18.09.2019,13:55,18.09.2019,15:40,A. Gamberoni BBA 1 - SA2,[206]
[A. Gamberoni] Introduction to Entrepreneurial Design,20.09.2019,08:10,20.09.2019,09:55,A. Gamberoni BBA 1 - SA1,[206]
[A. Gamberoni] Food and Beverage Management and Cost Control,20.09.2019,13:00,20.09.2019,14:45,A. Gamberoni BBA 4 - M1,[308]
[A. Gamberoni] Introduction to Entrepreneurial Design,23.09.2019,10:15,23.09.2019,12:00,A. Gamberoni BBA 1 - SA2,[207]
[A. Gamberoni] Food and Beverage Management and Cost Control,23.09.2019,13:00,23.09.2019,14:45,A. Gamberoni BBA 4 - M1,[NW2.1]
[A. Gamberoni] Integrated Project ,23.09.2019,14:50,23.09.2019,17:45,A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[A. Gamberoni] Introduction to Entrepreneurial Design,24.09.2019,10:15,24.09.2019,12:00,A. Gamberoni BBA 1 - SA1,[308]
[A. Gamberoni] Meeting,24.09.2019,16:00,24.09.2019,17:45
[A. Gamberoni] Food and Beverage Management and Cost Control,25.09.2019,10:15,25.09.2019,12:00,A. Gamberoni BBA 4 - M2,[205]
[A. Gamberoni] Introduction to Entrepreneurial Design,25.09.2019,13:55,25.09.2019,15:40,A. Gamberoni BBA 1 - SA2,[206]
[A. Gamberoni] Introduction to Entrepreneurial Design,27.09.2019,08:10,27.09.2019,09:55,A. Gamberoni BBA 1 - SA1,[206]
[A. Gamberoni] Introduction to Entrepreneurial Design,30.09.2019,10:15,30.09.2019,12:00,A. Gamberoni BBA 1 - SA2,[207]
[A. Gamberoni] Integrated Project ,30.09.2019,14:50,30.09.2019,17:45,A. Gamberoni P. Garcia A. Schirinzi BBA 4 - M1 BBA 4 - M2,NW 1.1 NW 1.2 NW 2.1
[A. Gamberoni] Introduction to Entrepreneurial Design,01.10.2019,10:15,01.10.2019,12:00,A. Gamberoni BBA 1 - SA1,[308]
