Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[GB 5] Management Science,09.09.2019,14:50,09.09.2019,16:50,F. Avila GB 5 GB 5/7,410
[GB 5] Quantitative Techniques,10.09.2019,11:10,10.09.2019,12:55,E. Mottier GB 5 GB 5/7,[407]
[GB 5] Lunch,10.09.2019,13:00,10.09.2019,13:50,GB 5
[GB 5] Corporate Events and Business Travel,11.09.2019,08:10,11.09.2019,09:00,GB 5 GB 5/7 G. Qumsieh,[NW1.1]
[GB 5] Food and Beverage Management ,11.09.2019,09:05,11.09.2019,11:05,E. Rachny GB 5,[LT2]
[GB 5] Lunch,11.09.2019,11:10,11.09.2019,12:00,GB 5
[GB 5] Leading Multi National Teams,11.09.2019,13:00,11.09.2019,13:50,W. Gerstkamp GB 5,[308]
[GB 5] Revenue and Pricing Management,11.09.2019,13:55,11.09.2019,15:40,R. Campione GB 5,[NW3.2]
[GB 5] Town Hall - Mandatory Presence,12.09.2019,09:05,12.09.2019,09:55,BBA 4 - M1 BBA 4 - M2 BBA 6 - N2 GB 5,LT 1
[GB 5] Quantitative Techniques,12.09.2019,12:05,12.09.2019,12:55,E. Mottier GB 5 GB 5/7,[410]
[GB 5] Lunch,12.09.2019,13:00,12.09.2019,13:50,GB 5
[GB 5] Food and Beverage Management ,12.09.2019,13:55,12.09.2019,14:45,E. Rachny GB 5
[GB 5] Corporate Events and Business Travel,12.09.2019,14:50,12.09.2019,16:50,GB 5 GB 5/7 G. Qumsieh,[EW3]
[GB 5] Revenue and Pricing Management,13.09.2019,11:10,13.09.2019,12:00,R. Campione GB 5,[304]
[GB 5] Management Science,13.09.2019,12:05,13.09.2019,12:55,F. Avila GB 5 GB 5/7
[GB 5] Lunch,13.09.2019,13:00,13.09.2019,13:50,GB 5
[GB 5] Research Methods,16.09.2019,08:10,16.09.2019,11:05,R. Germanier GB 5,[NW2.1]
[GB 5] Corporate Events and Business Travel,16.09.2019,11:10,16.09.2019,12:00,GB 5 GB 5/7 G. Qumsieh,[212]
[GB 5] Lunch,16.09.2019,12:05,16.09.2019,12:55,GB 5
[GB 5] Leading Multi National Teams,16.09.2019,13:00,16.09.2019,14:45,W. Gerstkamp GB 5,[NW1.2]
[GB 5] Management Science,16.09.2019,14:50,16.09.2019,16:50,F. Avila GB 5 GB 5/7,410
[GB 5] General Education,17.09.2019,08:10,17.09.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[GB 5] General Education,17.09.2019,09:05,17.09.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[GB 5] General Education,17.09.2019,10:15,17.09.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[GB 5] Quantitative Techniques,17.09.2019,11:10,17.09.2019,12:55,E. Mottier GB 5 GB 5/7,[407]
[GB 5] Lunch,17.09.2019,13:00,17.09.2019,13:50,GB 5
[GB 5] Business Photo,18.09.2019,08:10,18.09.2019,09:00,GB 5 Misc. Staff,[212]
[GB 5] Food and Beverage Management ,18.09.2019,09:05,18.09.2019,11:05,E. Rachny GB 5,[LT2]
[GB 5] Lunch,18.09.2019,11:10,18.09.2019,12:00,GB 5
