Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[GB 5/7] Project and Contract Management,09.09.2019,13:55,09.09.2019,14:45,G. Qumsieh GB 5/7 GB 7,[207]
[GB 5/7] Management Science,09.09.2019,14:50,09.09.2019,16:50,F. Avila GB 5 GB 5/7,410
[GB 5/7] Innovative Hospitality Start Ups,10.09.2019,09:05,10.09.2019,11:05,S. Chib GB 5/7 GB 7,[NW3.2]
[GB 5/7] Quantitative Techniques,10.09.2019,11:10,10.09.2019,12:55,E. Mottier GB 5 GB 5/7,[407]
[GB 5/7] Project and Contract Management,10.09.2019,13:55,10.09.2019,15:40,G. Qumsieh GB 5/7 GB 7,[308]
[GB 5/7] Corporate Events and Business Travel,11.09.2019,08:10,11.09.2019,09:00,GB 5 GB 5/7 G. Qumsieh,[NW1.1]
[GB 5/7] Politics and International Affairs,11.09.2019,10:15,11.09.2019,12:00,M. Ninan GB 5/7 GB 7,[EW3]
[GB 5/7] General Education,12.09.2019,08:10,12.09.2019,11:05,R. Germanier M. Ninan J. Cunningham E. Wong BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5/7 GB 7,NW 3.2 NW 2.2 213 NW 3.1
[GB 5/7] Quantitative Techniques,12.09.2019,12:05,12.09.2019,12:55,E. Mottier GB 5 GB 5/7,[410]
[GB 5/7] Corporate Events and Business Travel,12.09.2019,14:50,12.09.2019,16:50,GB 5 GB 5/7 G. Qumsieh,[EW3]
[GB 5/7] Politics and International Affairs,13.09.2019,11:10,13.09.2019,12:00,M. Ninan GB 5/7 GB 7,[NW1.2]
[GB 5/7] Management Science,13.09.2019,12:05,13.09.2019,12:55,F. Avila GB 5 GB 5/7
[GB 5/7] Project and Contract Management,16.09.2019,10:15,16.09.2019,11:05,G. Qumsieh GB 5/7 GB 7,[NW2.2]
[GB 5/7] Corporate Events and Business Travel,16.09.2019,11:10,16.09.2019,12:00,GB 5 GB 5/7 G. Qumsieh,[212]
[GB 5/7] Innovative Hospitality Start Ups,16.09.2019,12:05,16.09.2019,12:55,S. Chib GB 5/7 GB 7,[EW3]
[GB 5/7] Management Science,16.09.2019,14:50,16.09.2019,16:50,F. Avila GB 5 GB 5/7,410
[GB 5/7] Innovative Hospitality Start Ups,17.09.2019,08:10,17.09.2019,11:05,S. Chib GB 5/7 GB 7,[307]
[GB 5/7] Quantitative Techniques,17.09.2019,11:10,17.09.2019,12:55,E. Mottier GB 5 GB 5/7,[407]
[GB 5/7] Project and Contract Management,17.09.2019,13:55,17.09.2019,15:40,G. Qumsieh GB 5/7 GB 7,[EW7]
[GB 5/7] Politics and International Affairs,18.09.2019,10:15,18.09.2019,12:00,M. Ninan GB 5/7 GB 7,[NW1.1]
[GB 5/7] General Education,19.09.2019,08:10,19.09.2019,11:05,R. Germanier M. Ninan J. Cunningham E. Wong BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5/7 GB 7,NW 3.2 NW 2.2 213 NW 3.1
[GB 5/7] Quantitative Techniques,19.09.2019,12:05,19.09.2019,12:55,E. Mottier GB 5 GB 5/7,[410]
[GB 5/7] Corporate Events and Business Travel,19.09.2019,14:50,19.09.2019,16:50,GB 5 GB 5/7 G. Qumsieh,[EW3]
[GB 5/7] Politics and International Affairs,20.09.2019,11:10,20.09.2019,12:00,M. Ninan GB 5/7 GB 7,[EW7]
[GB 5/7] Management Science,20.09.2019,12:05,20.09.2019,12:55,F. Avila GB 5 GB 5/7
[GB 5/7] Corporate Events and Business Travel,23.09.2019,11:10,23.09.2019,12:00,GB 5 GB 5/7 G. Qumsieh,[212]
[GB 5/7] Management Science,23.09.2019,14:50,23.09.2019,16:50,F. Avila GB 5 GB 5/7,410
[GB 5/7] Quantitative Techniques,24.09.2019,11:10,24.09.2019,12:55,E. Mottier GB 5 GB 5/7,[407]
[GB 5/7] Les Roches Accreditation - Open Information Sessions,24.09.2019,16:00,24.09.2019,16:50,BBA 1 - SA1 BBA 1 - SA2 BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5 GB 5/7 GB 7 BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M2 BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,LT 2
[GB 5/7] General Education,26.09.2019,08:10,26.09.2019,11:05,R. Germanier M. Ninan J. Cunningham E. Wong BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5/7 GB 7,NW 3.2 NW 2.2 213 NW 3.1
[GB 5/7] Quantitative Techniques,26.09.2019,12:05,26.09.2019,12:55,E. Mottier GB 5 GB 5/7,[410]
[GB 5/7] Corporate Events and Business Travel,26.09.2019,14:50,26.09.2019,16:50,GB 5 GB 5/7 G. Qumsieh,[EW3]
[GB 5/7] Politics and International Affairs,27.09.2019,11:10,27.09.2019,12:00,M. Ninan GB 5/7 GB 7,[EW7]
[GB 5/7] Management Science,27.09.2019,12:05,27.09.2019,12:55,F. Avila GB 5 GB 5/7
