Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[W. Gerstkamp] Leadership and Human Resource Management,18.02.2020,09:05,18.02.2020,11:05,W. Gerstkamp BBA 6 - N2,[LT1]
[W. Gerstkamp] Leadership and Human Resource Management,18.02.2020,12:05,18.02.2020,13:50,W. Gerstkamp BBA 6 - N4,[208]
[W. Gerstkamp] Leadership and Human Resource Management,18.02.2020,13:55,18.02.2020,15:40,W. Gerstkamp BBA 6 - N5,[208]
[W. Gerstkamp] Meeting,18.02.2020,16:00,18.02.2020,17:45
[W. Gerstkamp] Leadership and Human Resource Management,19.02.2020,09:05,19.02.2020,11:05,W. Gerstkamp BBA 6 - N6,[305]
[W. Gerstkamp] Leadership and Human Resource Management,20.02.2020,13:55,20.02.2020,15:40,W. Gerstkamp BBA 6 - N1,[308]
[W. Gerstkamp] Leadership and Human Resource Management,20.02.2020,16:00,20.02.2020,17:45,W. Gerstkamp BBA 6 - N3,[308]
[W. Gerstkamp] Leadership and Human Resource Management,24.02.2020,10:15,24.02.2020,12:00,W. Gerstkamp BBA 6 - N2,[NW3.1]
[W. Gerstkamp] Leadership and Human Resource Management,24.02.2020,13:00,24.02.2020,14:45,W. Gerstkamp BBA 6 - N3,[NW3.1]
[W. Gerstkamp] Leadership and Human Resource Management,25.02.2020,12:05,25.02.2020,13:50,W. Gerstkamp BBA 6 - N4,[NW2.2]
[W. Gerstkamp] Leadership and Human Resource Management,25.02.2020,13:55,25.02.2020,15:40,W. Gerstkamp BBA 6 - N5,[NW2.2]
[W. Gerstkamp] Meeting,25.02.2020,16:00,25.02.2020,17:45
[W. Gerstkamp] Leadership and Human Resource Management,26.02.2020,09:05,26.02.2020,11:05,W. Gerstkamp BBA 6 - N6,[305]
[W. Gerstkamp] Leadership and Human Resource Management,27.02.2020,13:55,27.02.2020,15:40,W. Gerstkamp BBA 6 - N1,[NW2.2]
[W. Gerstkamp] Leadership and Human Resource Management,02.03.2020,10:15,02.03.2020,12:00,W. Gerstkamp BBA 6 - N2,[NW3.1]
