Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[B. Hassan] Hospitality Electives,17.02.2020,14:50,17.02.2020,17:45,B. Hassan G. Qumsieh BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3 205
[B. Hassan] Hospitality Electives (5208 & 5210),18.02.2020,09:05,18.02.2020,12:00,B. Hassan G. Qumsieh BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2 206
[B. Hassan] Meeting,18.02.2020,16:00,18.02.2020,17:45
[B. Hassan] Consultancy Project,20.02.2020,09:05,20.02.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,20.02.2020,11:10,20.02.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,20.02.2020,14:50,20.02.2020,17:45,B. Hassan GB 5,[409]
[B. Hassan] Hospitality Electives (5208 & 5210),24.02.2020,09:05,24.02.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),24.02.2020,14:50,24.02.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),25.02.2020,09:05,25.02.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,25.02.2020,13:55,25.02.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,25.02.2020,16:00,25.02.2020,17:45
[B. Hassan] Consultancy Project,27.02.2020,09:05,27.02.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,27.02.2020,14:50,27.02.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),02.03.2020,09:05,02.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),02.03.2020,14:50,02.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),03.03.2020,09:05,03.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,03.03.2020,13:55,03.03.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,03.03.2020,16:00,03.03.2020,17:45
[B. Hassan] Consultancy Project,05.03.2020,09:05,05.03.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,05.03.2020,11:10,05.03.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,05.03.2020,14:50,05.03.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),09.03.2020,09:05,09.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),09.03.2020,14:50,09.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),10.03.2020,09:05,10.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,10.03.2020,13:55,10.03.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,10.03.2020,16:00,10.03.2020,17:45
