Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[IHELP6] English Skills,08.01.2020,10:15,08.01.2020,12:00,J. Meehan IHELP6,[307]
[IHELP6] Hospitality Projects,08.01.2020,13:55,08.01.2020,15:40,D. Haubi IHELP6,[409]
[IHELP6] Lobby Bar Practical,09.01.2020,08:10,09.01.2020,16:50,IHELP6
[IHELP6] English Skills,10.01.2020,09:05,10.01.2020,11:05,J. Meehan IHELP6,[307]
[IHELP6] English for Hospitality,10.01.2020,14:50,10.01.2020,16:50,D. Haubi IHELP6,[304]
[IHELP6] Hospitality Projects,13.01.2020,13:00,13.01.2020,13:50,D. Haubi IHELP6,[307]
[IHELP6] Reading and Writing,13.01.2020,13:55,13.01.2020,16:50,K. Carlson-Blatti IHELP6,[307]
[IHELP6] English Skills,14.01.2020,10:15,14.01.2020,11:05,J. Meehan IHELP6,[207]
[IHELP6] English for Hospitality,14.01.2020,12:05,14.01.2020,12:55,D. Haubi IHELP6,[207]
[IHELP6] Reading and Writing,14.01.2020,13:00,14.01.2020,14:45,K. Carlson-Blatti IHELP6,[207]
[IHELP6] Tourism and Culture,14.01.2020,16:00,14.01.2020,17:45,D. Haubi IHELP6
[IHELP6] English Skills,15.01.2020,10:15,15.01.2020,12:00,J. Meehan IHELP6,[208]
[IHELP6] Skills for Success,15.01.2020,13:00,15.01.2020,14:45,R. Germanier IHELP6,[208]
[IHELP6] Listening and Speaking,15.01.2020,14:50,15.01.2020,16:50,E. Crettenand IHELP6,[208]
[IHELP6] English for Hospitality,15.01.2020,16:55,15.01.2020,17:45,D. Haubi IHELP6,[208]
[IHELP6] Lobby Bar Practical,16.01.2020,08:10,16.01.2020,16:50,IHELP6
[IHELP6] Skills for Success,17.01.2020,09:05,17.01.2020,11:05,R. Germanier IHELP6,[205]
[IHELP6] Hospitality Projects,17.01.2020,12:05,17.01.2020,12:55,D. Haubi IHELP6,[206]
[IHELP6] Listening and Speaking,17.01.2020,13:00,17.01.2020,13:50,E. Crettenand IHELP6,[206]
[IHELP6] English Skills,17.01.2020,13:55,17.01.2020,14:45,J. Meehan IHELP6,[206]
