Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M1] Lunch,09.09.2019,12:05,09.09.2019,12:55,BBA 4 - M1
[BBA 4 - M1] Digital Sales and Marketing,09.09.2019,13:00,09.09.2019,14:45,A. Schirinzi BBA 4 - M1,[NW2.1]
[BBA 4 - M1] Economics,10.09.2019,08:10,10.09.2019,09:55,A. Rosen BBA 4 - M1,[NW1.1]
[BBA 4 - M1] Foreign Languages,10.09.2019,10:15,10.09.2019,11:05,E. Crettenand S. Dunn D. Fuchs BBA 4 - M1 BBA 4 - M2,EW 2 EW 1 409
[BBA 4 - M1] Lunch,10.09.2019,11:10,10.09.2019,12:00,BBA 4 - M1
[BBA 4 - M1] Foreign Languages,10.09.2019,12:05,10.09.2019,12:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner D. Fuchs N. McMath BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 EW 2 205 EW 1 304 409 307
[BBA 4 - M1] Foreign Languages,10.09.2019,13:55,10.09.2019,14:45,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,10.09.2019,14:50,10.09.2019,15:40,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Foreign Languages,11.09.2019,08:10,11.09.2019,09:00,B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,205 EW 1 304
[BBA 4 - M1] Foreign Languages,11.09.2019,09:05,11.09.2019,09:55,A. Andrioli B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 BBA 4 - M2,207 205 EW 1 304
[BBA 4 - M1] Hospitality Human Resources,11.09.2019,10:15,11.09.2019,12:00,J. Van der Blom BBA 4 - M1,[LT2]
[BBA 4 - M1] Lunch,11.09.2019,12:05,11.09.2019,13:50,BBA 4 - M1
