Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M3] Economics,17.02.2020,13:55,17.02.2020,14:45,F. Avila BBA 4 - M3,[LT1]
[BBA 4 - M3] Digital Sales and Marketing,17.02.2020,14:50,17.02.2020,16:50,A. Schirinzi BBA 4 - M3 BBA 4 - M6,[305]
[BBA 4 - M3] Hospitality Managerial Accounting,18.02.2020,08:10,18.02.2020,09:55,BBA 4 - M3 I. Francis,[205]
[BBA 4 - M3] Foreign Languages - Group 3,18.02.2020,10:15,18.02.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M3] Lunch,18.02.2020,11:10,18.02.2020,12:00,BBA 4 - M3
[BBA 4 - M3] Foreign Languages - Group 1,18.02.2020,12:05,18.02.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M3] Foreign Languages - Group 4,18.02.2020,13:55,18.02.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M3] Foreign Languages - Group 2,19.02.2020,08:10,19.02.2020,09:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M3] Welcome back to LRCM - Mandatory Presence,19.02.2020,11:10,19.02.2020,12:00,BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 GB 5 Misc. Staff,LT 2
[BBA 4 - M3] Rooms Inventory and Control Management,19.02.2020,13:00,19.02.2020,14:45,J. Del Sol J. Van der Blom BBA 4 - M3,[207]
[BBA 4 - M3] Foreign Languages - Group 4,20.02.2020,10:15,20.02.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M3] Foreign Languages - Group 3,20.02.2020,11:10,20.02.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M3] Lunch,20.02.2020,13:00,20.02.2020,13:50,BBA 4 - M3
[BBA 4 - M3] Economics,20.02.2020,13:55,20.02.2020,15:40,A. Rosen BBA 4 - M3,[213]
[BBA 4 - M3] Hospitality Facilities Management,20.02.2020,16:00,20.02.2020,17:45,M. Aston BBA 4 - M3,[EW7]
[BBA 4 - M3] Foreign Languages - Group 1,21.02.2020,10:15,21.02.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M3] Lunch,21.02.2020,12:05,21.02.2020,12:55,BBA 4 - M3
[BBA 4 - M3] Foreign Languages - Group 2,21.02.2020,13:00,21.02.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M3] Leading Teams to Success,21.02.2020,14:50,21.02.2020,16:50,A. Gamberoni BBA 4 - M3,[EW7]
[BBA 4 - M3] Leading Teams to Success,24.02.2020,12:05,24.02.2020,13:50,A. Gamberoni BBA 4 - M3,[206]
[BBA 4 - M3] Economics,24.02.2020,13:55,24.02.2020,14:45,F. Avila BBA 4 - M3,[NW1.2]
[BBA 4 - M3] Hospitality Managerial Accounting,25.02.2020,08:10,25.02.2020,09:55,BBA 4 - M3 I. Francis,[NW3.2]
