Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[MBA 1] Hospitality Financial Management and Budgeting,11.09.2019,09:05,11.09.2019,11:05,A. Rosen MBA 1,[309]
[MBA 1] Strategic Marketing and Sales in the Hospitality Industry,11.09.2019,13:55,11.09.2019,15:40,MBA 1 E. Varini,[EW8]
[MBA 1] Taster/Introduction to Opera PMS,12.09.2019,08:10,12.09.2019,09:55,MBA 1 B. McGlade,[305]
[MBA 1] Leadership and Organisational Effectiveness,12.09.2019,10:15,12.09.2019,12:00,A. Darioly Carroz MBA 1,[212]
[MBA 1] Hospitality Demand and Revenue Management,12.09.2019,13:00,12.09.2019,14:45,MBA 1 F. Gueuning,[EW8]
[MBA 1] Business Modelling Innovation and Entrepreneurship,12.09.2019,14:50,12.09.2019,16:50,F. Avila MBA 1,[NW3.2]
[MBA 1] Hospitality Demand and Revenue Management,16.09.2019,12:05,16.09.2019,13:50,MBA 1 F. Gueuning,[207]
[MBA 1] Business Modelling Innovation and Entrepreneurship,17.09.2019,10:15,17.09.2019,12:00,F. Avila MBA 1,[EW7]
[MBA 1] Strategic Marketing and Sales in the Hospitality Industry,17.09.2019,13:00,17.09.2019,14:45,MBA 1 E. Varini,[NW3.1]
[MBA 1] Business Photo,17.09.2019,14:50,17.09.2019,15:40,BBA 7 - G6 Entrepreneurship MBA 1 Misc. Staff,[212]
[MBA 1] Hospitality Financial Management and Budgeting,18.09.2019,10:15,18.09.2019,12:00,A. Rosen MBA 1,[309]
[MBA 1] Introduction to Hospitality and Tourism,18.09.2019,13:55,18.09.2019,15:40,MBA 1 D. Diamantis,[NW1.2]
[MBA 1] Leadership and Organisational Effectiveness,19.09.2019,10:15,19.09.2019,12:00,A. Darioly Carroz MBA 1,[212]
[MBA 1] Strategic Marketing and Sales in the Hospitality Industry,23.09.2019,09:05,23.09.2019,11:05,MBA 1 E. Varini,[212]
[MBA 1] Hospitality Demand and Revenue Management,23.09.2019,12:05,23.09.2019,13:50,MBA 1 F. Gueuning,[207]
[MBA 1] Opera PMS,24.09.2019,08:10,24.09.2019,09:55,MBA 1 B. McGlade,410
[MBA 1] Business Modelling Innovation and Entrepreneurship,24.09.2019,10:15,24.09.2019,12:00,F. Avila MBA 1,[EW7]
[MBA 1] Leadership Series,24.09.2019,13:55,24.09.2019,15:40,MBA 2 a MBA 2 b MBA1-2 MBA 1 PGDa PGDb,LT 1
[MBA 1] APA Workshop,24.09.2019,16:00,24.09.2019,16:50,MBA 1 PGDa PGDb A. Darioly Carroz,[LT1]
[MBA 1] The Economics of Hospitality,25.09.2019,08:10,25.09.2019,09:55,A. Rosen MBA 1,[309]
[MBA 1] Hospitality Financial Management and Budgeting,25.09.2019,10:15,25.09.2019,12:00,A. Rosen MBA 1,[309]
[MBA 1] Sustainable Development in Hospitality,25.09.2019,16:00,25.09.2019,17:45,D. Diamantis MBA 1 MBA1-2,[308]
[MBA 1] Leadership and Organisational Effectiveness,26.09.2019,09:05,26.09.2019,11:05,A. Darioly Carroz MBA 1,[NW1.2]
[MBA 1] Managing Organizational Development and Change,26.09.2019,12:05,26.09.2019,13:50,MBA 1 E. Wong,[NW1.1]
