Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[MBA 2 a] Corporate Finance and Shareholder Value,18.02.2020,13:55,18.02.2020,15:40,A. Rosen MBA 2 a,[EW8]
[MBA 2 a] Uncertainty_ Data Analytics and Critical Thinking,19.02.2020,09:05,19.02.2020,11:05,F. Avila MBA 2 a,[309]
[MBA 2 a] Welcome back to LRCM - Mandatory Presence,19.02.2020,12:05,19.02.2020,12:55,BBA 7 - G4 Entrepreneurship MBA 2 a MBA 2 b MBA 2 b (revenue) BBA 3 - K1 BBA 3 - K2 Misc. Staff,LT 2
[MBA 2 a] Consultancy Project,20.02.2020,09:05,20.02.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[MBA 2 a] Consultancy Project,20.02.2020,11:10,20.02.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[MBA 2 a] Managing Destinations Competitiveness,20.02.2020,13:55,20.02.2020,15:40,D. Diamantis MBA 2 a MBA 2 b MBA 2 b (revenue),[EW8]
[MBA 2 a] Uncertainty_ Data Analytics and Critical Thinking,24.02.2020,10:15,24.02.2020,12:00,F. Avila MBA 2 a,[410]
[MBA 2 a] Managing Destinations Competitiveness,24.02.2020,13:55,24.02.2020,15:40,D. Diamantis MBA 2 a MBA 2 b MBA 2 b (revenue),[303]
[MBA 2 a] MBA Programme Manager Information,24.02.2020,16:00,24.02.2020,16:50,MBA 2 a MBA 2 b MBA 2 b (revenue) D. Diamantis,[303]
[MBA 2 a] Corporate Finance and Shareholder Value,25.02.2020,13:55,25.02.2020,15:40,A. Rosen MBA 2 a,[309]
[MBA 2 a] Managing Real Estate and Properties,26.02.2020,13:55,26.02.2020,15:40,D. Adams MBA 2 a MBA 2 b MBA 2 b (revenue),[EW8]
[MBA 2 a] Consultancy Project,27.02.2020,09:05,27.02.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[MBA 2 a] Moncler Guest Speaker,27.02.2020,11:10,27.02.2020,12:00,MBA 2 a MBA 2 b MBA 2 b (revenue) F. Avila G. Qumsieh,303
[MBA 2 a] Managing Real Estate and Properties,27.02.2020,13:55,27.02.2020,16:50,D. Adams MBA 2 a MBA 2 b MBA 2 b (revenue),[EW8]
[MBA 2 a] Managing Real Estate and Properties,28.02.2020,09:05,28.02.2020,12:00,D. Adams MBA 2 a MBA 2 b MBA 2 b (revenue),[EW8]
[MBA 2 a] Uncertainty_ Data Analytics and Critical Thinking,02.03.2020,10:15,02.03.2020,12:00,F. Avila MBA 2 a,[410]
[MBA 2 a] Luxury Branding and Lifestyle Management,02.03.2020,13:55,02.03.2020,15:40,G. Qumsieh MBA 2 a MBA 2 b MBA 2 b (revenue),[EW1]
[MBA 2 a] Hospitality Business Transformation and Integration,02.03.2020,16:00,02.03.2020,17:45,F. Avila MBA 2 a MBA 2 b MBA 2 b (revenue),[308]
[MBA 2 a] Corporate Finance and Shareholder Value,03.03.2020,13:55,03.03.2020,15:40,A. Rosen MBA 2 a,[309]
[MBA 2 a] Customer Behaviour and Insights,04.03.2020,09:05,04.03.2020,11:05,J. Di Donna MBA 2 a MBA 2 b MBA 2 b (revenue),[EW8]
[MBA 2 a] Consultancy Project,05.03.2020,09:05,05.03.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[MBA 2 a] Consultancy Project,05.03.2020,11:10,05.03.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[MBA 2 a] Investment Strategies for Financial Markets and Asset Management,05.03.2020,16:00,05.03.2020,17:45,MBA 2 a MBA 2 b MBA 2 b (revenue) M. Michaels,[303]
[MBA 2 a] Uncertainty_ Data Analytics and Critical Thinking,09.03.2020,10:15,09.03.2020,12:00,F. Avila MBA 2 a,[410]
[MBA 2 a] Luxury Branding and Lifestyle Management,09.03.2020,13:55,09.03.2020,15:40,G. Qumsieh MBA 2 a MBA 2 b MBA 2 b (revenue),[EW1]
[MBA 2 a] Hospitality Business Transformation and Integration,09.03.2020,16:00,09.03.2020,17:45,F. Avila MBA 2 a MBA 2 b MBA 2 b (revenue),[308]
[MBA 2 a] Employability,10.03.2020,11:10,10.03.2020,12:55,G. Lana MBA 2 a
[MBA 2 a] Corporate Finance and Shareholder Value,10.03.2020,13:55,10.03.2020,15:40,A. Rosen MBA 2 a,[309]
