Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[M. Michaels] Hospitality Financial Forecasting and Modelling,12.09.2019,13:00,12.09.2019,14:45,M. Michaels BBA 7 - G1 Finance BBA 7 - G2 Finance,[LT1]
[M. Michaels] Hospitality Financial Forecasting and Modelling,12.09.2019,16:00,12.09.2019,16:50,M. Michaels BBA 7 - G2 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,12.09.2019,16:55,12.09.2019,17:45,M. Michaels BBA 7 - G1 Finance,[NW3.1]
[M. Michaels] Hospitality Financial Forecasting and Modelling,19.09.2019,11:10,19.09.2019,12:55,M. Michaels BBA 7 - G1 Finance BBA 7 - G2 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,19.09.2019,16:00,19.09.2019,16:50,M. Michaels BBA 7 - G2 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,19.09.2019,16:55,19.09.2019,17:45,M. Michaels BBA 7 - G1 Finance,[NW3.1]
[M. Michaels] Hospitality Financial Forecasting and Modelling,26.09.2019,11:10,26.09.2019,12:55,M. Michaels BBA 7 - G1 Finance BBA 7 - G2 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,26.09.2019,16:00,26.09.2019,16:50,M. Michaels BBA 7 - G2 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,26.09.2019,16:55,26.09.2019,17:45,M. Michaels BBA 7 - G1 Finance,[NW3.1]
[M. Michaels] Hospitality Financial Forecasting and Modelling,03.10.2019,11:10,03.10.2019,12:55,M. Michaels BBA 7 - G1 Finance BBA 7 - G2 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,03.10.2019,16:00,03.10.2019,16:50,M. Michaels BBA 7 - G2 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,03.10.2019,16:55,03.10.2019,17:45,M. Michaels BBA 7 - G1 Finance,[NW3.1]
[M. Michaels] Hospitality Financial Forecasting and Modelling,10.10.2019,11:10,10.10.2019,12:00,M. Michaels BBA 7 - G1 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,10.10.2019,12:05,10.10.2019,12:55,M. Michaels BBA 7 - G2 Finance,[309]
[M. Michaels] Hospitality Financial Forecasting and Modelling,10.10.2019,13:55,10.10.2019,15:40,M. Michaels BBA 7 - G2 Finance,[NW3.1]
[M. Michaels] Hospitality Financial Forecasting and Modelling,10.10.2019,16:00,10.10.2019,17:45,M. Michaels BBA 7 - G1 Finance,[NW3.1]
