Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 6 - N6] Data Analytics for Business Optimisation,18.02.2020,11:10,18.02.2020,12:55,E. Mottier BBA 6 - N6,407
[BBA 6 - N6] Lunch,18.02.2020,13:00,18.02.2020,13:50,BBA 6 - N6
[BBA 6 - N6] Online Internship Wrap Up,18.02.2020,16:00,18.02.2020,16:50,J. Del Sol D. Fuchs A. Gamberoni R. Germanier D. Haubi S. Stead J. Van der Blom K. Carlson-Blatti BBA 3 - K1 BBA 3 - K2 BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 BBA 6 - N5 BBA 6 - N6,205 304 409 308 206 305 207 208
[BBA 6 - N6] Online Internship Wrap Up,18.02.2020,16:55,18.02.2020,17:45,J. Del Sol D. Fuchs A. Gamberoni R. Germanier D. Haubi S. Stead J. Van der Blom K. Carlson-Blatti BBA 3 - K1 BBA 3 - K2 BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 BBA 6 - N5 BBA 6 - N6,205 304 409 308 206 305 207 208
[BBA 6 - N6] Leadership and Human Resource Management,19.02.2020,09:05,19.02.2020,11:05,W. Gerstkamp BBA 6 - N6,[305]
[BBA 6 - N6] Lunch,19.02.2020,11:10,19.02.2020,12:55,BBA 6 - N6
[BBA 6 - N6] Customer Relationship Management,19.02.2020,13:55,19.02.2020,15:40,J. Di Donna BBA 6 - N6,[309]
[BBA 6 - N6] Welcome back to LRCM - Mandatory Presence,19.02.2020,16:00,19.02.2020,16:50,BBA 6 - N4 BBA 6 - N5 BBA 6 - N6 Misc. Staff,LT 2
[BBA 6 - N6] Hospitality Financial Management,20.02.2020,08:10,20.02.2020,09:55,S. McMath BBA 6 - N6,[EW1]
[BBA 6 - N6] Lunch,20.02.2020,11:10,20.02.2020,12:55,BBA 6 - N6
[BBA 6 - N6] Revenue and Pricing Management,20.02.2020,13:00,20.02.2020,14:45,R. Campione BBA 6 - N6,[305]
[BBA 6 - N6] Modellng for Management,20.02.2020,14:50,20.02.2020,16:50,M. Leaney BBA 6 - N6,[LT2]
[BBA 6 - N6] Data Analytics for Business Optimisation,20.02.2020,16:55,20.02.2020,17:45,E. Mottier BBA 6 - N6,[407]
[BBA 6 - N6] Hospitality Financial Management,21.02.2020,10:15,21.02.2020,11:05,S. McMath BBA 6 - N6,[308]
[BBA 6 - N6] Lunch,21.02.2020,11:10,21.02.2020,12:00,BBA 6 - N6
[BBA 6 - N6] Leadership and Human Resource Management,21.02.2020,12:05,21.02.2020,12:55,E. Wong BBA 6 - N6,[208]
[BBA 6 - N6] Modellng for Management,21.02.2020,14:50,21.02.2020,15:40,M. Leaney BBA 6 - N1 BBA 6 - N6 GB 5,LT 2
