Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[PGD] /////,17.02.2020,08:10,17.02.2020,09:00
[PGD] /////,18.02.2020,08:10,18.02.2020,09:00
[PGD] Hospitality Revenue Management,19.02.2020,09:05,19.02.2020,11:05,S. Dahl PGD,[LT1]
[PGD] Services Marketing in a Digital Age,19.02.2020,11:10,19.02.2020,12:00,E. Rachny PGD,[EW3]
[PGD] Lunch,19.02.2020,12:05,19.02.2020,12:55,PGD
[PGD] Hospitality Finance and Performance Management,19.02.2020,13:00,19.02.2020,14:45,PGD F. Gueuning,[206]
[PGD] Hospitality Leadership and Organisational Behaviour,19.02.2020,14:50,19.02.2020,16:50,A. Darioly Carroz PGD,[EW1]
[PGD] Entrepreneurship and Business Modelling,20.02.2020,08:10,20.02.2020,09:00,F. Avila PGD,[410]
[PGD] Hospitality Revenue Management,20.02.2020,09:05,20.02.2020,11:05,S. Dahl PGD,[305]
[PGD] Services Marketing in a Digital Age,20.02.2020,11:10,20.02.2020,12:55,E. Rachny PGD
[PGD] Lunch,20.02.2020,13:00,20.02.2020,13:50,PGD
[PGD] Hospitality Finance and Performance Management,20.02.2020,13:55,20.02.2020,15:40,PGD F. Gueuning,[EW2]
[PGD] Entrepreneurship and Business Modelling,21.02.2020,09:05,21.02.2020,11:05,F. Avila PGD,[ShelterBar]
[PGD] Lunch,21.02.2020,11:10,21.02.2020,12:55,PGD
[PGD] Career Development Journey,21.02.2020,13:00,21.02.2020,14:45,CDIP 1 PGD,[303]
[PGD] Hospitality Finance and Performance Management,24.02.2020,08:10,24.02.2020,09:55,PGD F. Gueuning,[NW1.2]
[PGD] Lunch,24.02.2020,11:10,24.02.2020,12:55,PGD
[PGD] Services Marketing in a Digital Age,24.02.2020,13:00,24.02.2020,14:45,E. Rachny PGD,[EW3]
[PGD] Innovation through Design and Agile Thinking,24.02.2020,14:50,24.02.2020,16:50,S. Chib PGD,[309]
[PGD] Entrepreneurship and Business Modelling,25.02.2020,09:05,25.02.2020,11:05,F. Avila PGD,[410]
[PGD] Lunch,25.02.2020,11:10,25.02.2020,12:00,PGD
[PGD] Hospitality Leadership and Organisational Behaviour,25.02.2020,12:05,25.02.2020,13:50,A. Darioly Carroz PGD,[NW2.1]
[PGD] Events Management,25.02.2020,13:55,25.02.2020,15:40,B. Hassan PGD,[NW2.1]
[PGD] Interview Skills and Career Day ,25.02.2020,16:00,25.02.2020,17:45,CDIP 1 MBA 1 PGD,[305]
[PGD] Hospitality Revenue Management,26.02.2020,08:10,26.02.2020,09:55,S. Dahl PGD,[212]
[PGD] Taster/Introduction to Opera PMS,26.02.2020,10:15,26.02.2020,12:00,PGD B. McGlade,305
[PGD] Lunch,26.02.2020,12:05,26.02.2020,12:55,PGD
[PGD] Talent Management in Hospitality,26.02.2020,13:00,26.02.2020,14:45,E. Wong PGD,[NW1.1]
[PGD] Design and Facilities Management,26.02.2020,14:50,26.02.2020,16:50,PGD F. Gueuning,[213]
[PGD] Hospitality Revenue Management,27.02.2020,09:05,27.02.2020,11:05,S. Dahl PGD,[213]
[PGD] Hospitality Finance and Performance Management,27.02.2020,11:10,27.02.2020,12:55,PGD F. Gueuning,[NW1.1]
[PGD] Lunch,27.02.2020,13:00,27.02.2020,13:50,PGD
[PGD] Hospitality Leadership and Organisational Behaviour,27.02.2020,13:55,27.02.2020,15:40,A. Darioly Carroz PGD,[NW2.1]
[PGD] Services Marketing in a Digital Age,27.02.2020,16:00,27.02.2020,16:50,E. Rachny PGD,[EW3]
[PGD] Entrepreneurship and Business Modelling,27.02.2020,16:55,27.02.2020,17:45,F. Avila PGD,[NW1.1]
