Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[PGDa] Elective Choice,11.09.2019,09:05,11.09.2019,09:55,PGDa PGDb P. Garcia B. Hassan E. Wong S. Chib F. Gueuning,[303]
[PGDa] Services Marketing in a Digital Age,11.09.2019,10:15,11.09.2019,11:05,E. Varini PGDa,[NW2.2]
[PGDa] Hospitality Finance and Performance Management,11.09.2019,11:10,11.09.2019,12:55,F. Gueuning PGDa,[308]
[PGDa] Lunch,11.09.2019,13:00,11.09.2019,13:50,PGDa
[PGDa] Taster/Introduction to Opera PMS,11.09.2019,13:55,11.09.2019,15:40,PGDa B. McGlade,[305]
[PGDa] Entrepreneurship and Business Modelling,11.09.2019,16:00,11.09.2019,17:45,F. Avila PGDa,[207]
[PGDa] Entrepreneurship and Business Modelling,12.09.2019,09:05,12.09.2019,09:55,F. Avila PGDa,[207]
[PGDa] Hospitality Finance and Performance Management,12.09.2019,10:15,12.09.2019,11:05,F. Gueuning PGDa,[303]
[PGDa] Hospitality Revenue Management,12.09.2019,11:10,12.09.2019,12:55,R. Campione PGDa,[NW3.1]
[PGDa] Lunch,12.09.2019,13:00,12.09.2019,13:50,PGDa
[PGDa] Services Marketing in a Digital Age,12.09.2019,13:55,12.09.2019,15:40,E. Varini PGDa,[309]
[PGDa] Hospitality Leadership and Organisational Behaviour,12.09.2019,16:00,12.09.2019,17:45,A. Darioly Carroz PGDa,[305]
[PGDa] Hospitality Finance and Performance Management,16.09.2019,09:05,16.09.2019,11:05,F. Gueuning PGDa,[NW3.2]
[PGDa] Entrepreneurship and Business Modelling,16.09.2019,11:10,16.09.2019,12:55,F. Avila PGDa,[NW3.2]
[PGDa] Lunch,16.09.2019,13:00,16.09.2019,13:50,PGDa
[PGDa] Business Photo,16.09.2019,14:50,16.09.2019,15:40,PGDa Misc. Staff,[212]
[PGDa] Services Marketing in a Digital Age,16.09.2019,16:00,16.09.2019,16:50,E. Varini PGDa,[207]
[PGDa] Talent Management in Hospitality,17.09.2019,08:10,17.09.2019,09:55,E. Wong PGDa PGDb
[PGDa] Hospitality Leadership and Organisational Behaviour,17.09.2019,10:15,17.09.2019,12:00,A. Darioly Carroz PGDa,[305]
[PGDa] Lunch,17.09.2019,12:05,17.09.2019,13:50,PGDa
[PGDa] Hospitality Revenue Management,17.09.2019,13:55,17.09.2019,15:40,R. Campione PGDa,[308]
[PGDa] Career Development Journey,18.09.2019,08:10,18.09.2019,17:45,CDIP 1 PGDa PGDb,[LT1]
[PGDa] Entrepreneurship and Business Modelling,19.09.2019,09:05,19.09.2019,09:55,F. Avila PGDa,[EW7]
[PGDa] Hospitality Finance and Performance Management,19.09.2019,10:15,19.09.2019,11:05,F. Gueuning PGDa,[303]
[PGDa] Hospitality Revenue Management,19.09.2019,11:10,19.09.2019,12:00,R. Campione PGDa,[NW3.1]
[PGDa] Lunch,19.09.2019,12:05,19.09.2019,13:50,PGDa
[PGDa] Hospitality Leadership and Organisational Behaviour,19.09.2019,13:55,19.09.2019,14:45,A. Darioly Carroz PGDa,[LT1]
[PGDa] Services Marketing in a Digital Age,19.09.2019,14:50,19.09.2019,16:50,E. Varini PGDa,[NW3.2]
[PGDa] Events Management,20.09.2019,08:10,20.09.2019,09:55,B. Hassan PGDa PGDb,[NW1.1]
[PGDa] Lunch,20.09.2019,11:10,20.09.2019,12:55,PGDa
[PGDa] Innovation through Design and Agile Thinking,20.09.2019,13:00,20.09.2019,14:45,S. Chib PGDa PGDb,[NW1.1]
[PGDa] Design and Facilities Management,20.09.2019,14:50,20.09.2019,16:50,PGDa PGDb P. Garcia,[NW1.1]
[PGDa] Hospitality Finance and Performance Management,23.09.2019,09:05,23.09.2019,11:05,F. Gueuning PGDa,[NW3.2]
[PGDa] Talent Management in Hospitality,23.09.2019,11:10,23.09.2019,12:55,E. Wong PGDa PGDb,[NW1.1]
[PGDa] Lunch,23.09.2019,13:00,23.09.2019,13:50,PGDa
[PGDa] Services Marketing in a Digital Age,23.09.2019,16:00,23.09.2019,16:50,E. Varini PGDa,[208]
[PGDa] Hospitality Revenue Management,23.09.2019,16:55,23.09.2019,17:45,R. Campione PGDa,[NW3.1]
