Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[PGDb] Elective Choice,11.09.2019,09:05,11.09.2019,09:55,PGDa PGDb P. Garcia B. Hassan E. Wong S. Chib F. Gueuning,[303]
[PGDb] Services Marketing in a Digital Age,11.09.2019,11:10,11.09.2019,12:00,E. Varini PGDb,[NW1.2]
[PGDb] Lunch,11.09.2019,12:05,11.09.2019,13:50,PGDb
[PGDb] Hospitality Finance and Performance Management,11.09.2019,13:55,11.09.2019,15:40,F. Gueuning PGDb,[EW3]
[PGDb] Taster/Introduction to Opera PMS,11.09.2019,16:00,11.09.2019,17:45,PGDb B. McGlade,[305]
[PGDb] Hospitality Finance and Performance Management,12.09.2019,09:05,12.09.2019,09:55,F. Gueuning PGDb,[NW1.2]
[PGDb] Entrepreneurship and Business Modelling,12.09.2019,10:15,12.09.2019,11:05,F. Avila PGDb,[NW1.2]
[PGDb] Services Marketing in a Digital Age,12.09.2019,11:10,12.09.2019,12:55,E. Varini PGDb,[NW1.2]
[PGDb] Lunch,12.09.2019,13:00,12.09.2019,13:50,PGDb
[PGDb] Hospitality Leadership and Organisational Behaviour,12.09.2019,13:55,12.09.2019,15:40,A. Darioly Carroz PGDb,[305]
[PGDb] Hospitality Revenue Management,12.09.2019,16:00,12.09.2019,17:45,R. Campione PGDb,[212]
[PGDb] Entrepreneurship and Business Modelling,13.09.2019,13:00,13.09.2019,14:45,F. Avila PGDb,[NW1.1]
[PGDb] Entrepreneurship and Business Modelling,16.09.2019,09:05,16.09.2019,11:05,F. Avila PGDb,[206]
[PGDb] Lunch,16.09.2019,11:10,16.09.2019,13:50,PGDb
[PGDb] Hospitality Finance and Performance Management,16.09.2019,13:55,16.09.2019,15:40,F. Gueuning PGDb,[207]
[PGDb] Business Photo,16.09.2019,16:00,16.09.2019,16:50,PGDb Misc. Staff,[212]
[PGDb] Talent Management in Hospitality,17.09.2019,08:10,17.09.2019,09:55,E. Wong PGDa PGDb
[PGDb] Services Marketing in a Digital Age,17.09.2019,10:15,17.09.2019,11:05,E. Varini PGDb,[213]
[PGDb] Hospitality Revenue Management,17.09.2019,11:10,17.09.2019,12:55,R. Campione PGDb,[213]
[PGDb] Lunch,17.09.2019,13:00,17.09.2019,13:50,PGDb
[PGDb] Hospitality Leadership and Organisational Behaviour,17.09.2019,13:55,17.09.2019,15:40,A. Darioly Carroz PGDb,[305]
[PGDb] Career Development Journey,18.09.2019,08:10,18.09.2019,17:45,CDIP 1 PGDa PGDb,[LT1]
[PGDb] Hospitality Finance and Performance Management,19.09.2019,09:05,19.09.2019,09:55,F. Gueuning PGDb,[303]
[PGDb] Entrepreneurship and Business Modelling,19.09.2019,10:15,19.09.2019,11:05,F. Avila PGDb,[EW7]
[PGDb] Lunch,19.09.2019,11:10,19.09.2019,12:55,PGDb
[PGDb] Services Marketing in a Digital Age,19.09.2019,13:00,19.09.2019,14:45,E. Varini PGDb,[NW3.2]
[PGDb] Hospitality Leadership and Organisational Behaviour,19.09.2019,14:50,19.09.2019,15:40,A. Darioly Carroz PGDb,[LT1]
[PGDb] Hospitality Revenue Management,19.09.2019,16:55,19.09.2019,17:45,R. Campione PGDb,[EW8]
[PGDb] Events Management,20.09.2019,08:10,20.09.2019,09:55,B. Hassan PGDa PGDb,[NW1.1]
[PGDb] Lunch,20.09.2019,11:10,20.09.2019,12:55,PGDb
[PGDb] Innovation through Design and Agile Thinking,20.09.2019,13:00,20.09.2019,14:45,S. Chib PGDa PGDb,[NW1.1]
[PGDb] Design and Facilities Management,20.09.2019,14:50,20.09.2019,16:50,PGDa PGDb P. Garcia,[NW1.1]
[PGDb] Entrepreneurship and Business Modelling,23.09.2019,09:05,23.09.2019,11:05,F. Avila PGDb,[206]
[PGDb] Talent Management in Hospitality,23.09.2019,11:10,23.09.2019,12:55,E. Wong PGDa PGDb,[NW1.1]
[PGDb] Lunch,23.09.2019,13:00,23.09.2019,13:50,PGDb
[PGDb] Hospitality Finance and Performance Management,23.09.2019,13:55,23.09.2019,15:40,F. Gueuning PGDb,[207]
[PGDb] Services Marketing in a Digital Age,24.09.2019,10:15,24.09.2019,11:05,E. Varini PGDb,[212]
[PGDb] Hospitality Revenue Management,24.09.2019,11:10,24.09.2019,12:55,R. Campione PGDb,[212]
[PGDb] Lunch,24.09.2019,13:00,24.09.2019,13:50,PGDb
[PGDb] Leadership Series,24.09.2019,13:55,24.09.2019,15:40,MBA 2 a MBA 2 b MBA1-2 MBA 1 PGDa PGDb,LT 1
[PGDb] APA Workshop,24.09.2019,16:00,24.09.2019,16:50,MBA 1 PGDa PGDb A. Darioly Carroz,[LT1]
[PGDb] Hospitality Leadership and Organisational Behaviour,25.09.2019,09:05,25.09.2019,11:05,A. Darioly Carroz PGDb,[NW3.2]
[PGDb] Innovation through Design and Agile Thinking,25.09.2019,11:10,25.09.2019,12:55,S. Chib PGDa PGDb,[NW3.2]
[PGDb] Lunch,25.09.2019,13:00,25.09.2019,13:50,PGDb
[PGDb] Design and Facilities Management,25.09.2019,13:55,25.09.2019,15:40,PGDa PGDb P. Garcia,[NW1.2]
[PGDb] Events Management,25.09.2019,16:00,25.09.2019,17:45,B. Hassan PGDa PGDb,[EW3]
[PGDb] Q & A with the Programme Manager,26.09.2019,08:10,26.09.2019,09:00,F. Gueuning PGDa PGDb,[303]
[PGDb] Hospitality Finance and Performance Management,26.09.2019,09:05,26.09.2019,09:55,F. Gueuning PGDb,[303]
[PGDb] Lunch,26.09.2019,11:10,26.09.2019,12:55,PGDb
[PGDb] Services Marketing in a Digital Age,26.09.2019,13:00,26.09.2019,14:45,E. Varini PGDb,[NW3.2]
[PGDb] Hospitality Leadership and Organisational Behaviour,26.09.2019,14:50,26.09.2019,15:40,A. Darioly Carroz PGDb,[NW2.2]
[PGDb] Hospitality Revenue Management,26.09.2019,16:55,26.09.2019,17:45,R. Campione PGDb,[EW8]
[PGDb] Entrepreneurship and Business Modelling,30.09.2019,09:05,30.09.2019,11:05,F. Avila PGDb,[206]
[PGDb] Talent Management in Hospitality,30.09.2019,11:10,30.09.2019,12:55,E. Wong PGDa PGDb,[NW1.1]
[PGDb] Lunch,30.09.2019,13:00,30.09.2019,13:50,PGDb
[PGDb] Hospitality Finance and Performance Management,30.09.2019,13:55,30.09.2019,15:40,F. Gueuning PGDb,[207]
[PGDb] Entrepreneurship and Business Modelling,01.10.2019,08:10,01.10.2019,09:55,F. Avila PGDb,[EW7]
[PGDb] Services Marketing in a Digital Age,01.10.2019,10:15,01.10.2019,11:05,E. Varini PGDb,[212]
[PGDb] Hospitality Revenue Management,01.10.2019,11:10,01.10.2019,12:55,R. Campione PGDb,[212]
[PGDb] Lunch,01.10.2019,13:00,01.10.2019,13:50,PGDb
[PGDb] Hospitality Leadership and Organisational Behaviour,01.10.2019,13:55,01.10.2019,15:40,A. Darioly Carroz PGDb,[305]
[PGDb] Les Roches Accreditation - Open Information Sessions,01.10.2019,16:00,01.10.2019,16:50,BBA 1 - SA1 BBA 1 - SA2 BBA 7 - G1 Finance BBA 7 - G2 Finance BBA 7 - G3 Marketing BBA 7 - G4 Entrepreneurship BBA 7 - G5 Entrepreneurship BBA 7 - G6 Entrepreneurship GB 5 GB 5/7 GB 7 BBA 3 - K1 BBA 3 - K2 BBA 3 - K3 BBA 3 - K4 BBA 3 - K5 BBA 3 - K6 BBA 4 - M1 MBA 1 PGDa PGDb MBA 2 a MBA 2 b BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,LT 1
[PGDb] Opera PMS,02.10.2019,08:10,02.10.2019,09:55,PGDb B. McGlade,410
[PGDb] Innovation through Design and Agile Thinking,02.10.2019,10:15,02.10.2019,12:00,S. Chib PGDa PGDb,[NW3.2]
[PGDb] Lunch,02.10.2019,12:05,02.10.2019,13:50,PGDb
[PGDb] Design and Facilities Management,02.10.2019,13:55,02.10.2019,15:40,PGDa PGDb P. Garcia,[NW1.2]
[PGDb] Events Management,02.10.2019,16:00,02.10.2019,17:45,B. Hassan PGDa PGDb,[EW3]
[PGDb] Student Experience,03.10.2019,08:10,03.10.2019,09:00,PGDa PGDb F. Gueuning,[303]
[PGDb] Hospitality Finance and Performance Management,03.10.2019,09:05,03.10.2019,09:55,F. Gueuning PGDb,[303]
[PGDb] Lunch,03.10.2019,12:05,03.10.2019,12:55,PGDb
[PGDb] Services Marketing in a Digital Age,03.10.2019,13:00,03.10.2019,14:45,E. Varini PGDb,[NW3.2]
