Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[A. Rosen] Economics,18.02.2020,08:10,18.02.2020,09:55,A. Rosen BBA 4 - M6,[EW8]
[A. Rosen] Corporate Finance and Shareholder Value,18.02.2020,10:15,18.02.2020,12:00,A. Rosen MBA 2 b MBA 2 b (revenue),[EW8]
[A. Rosen] Corporate Finance and Shareholder Value,18.02.2020,13:55,18.02.2020,15:40,A. Rosen MBA 2 a,[EW8]
[A. Rosen] Meeting,18.02.2020,16:00,18.02.2020,17:45
[A. Rosen] Economics,19.02.2020,13:00,19.02.2020,14:45,A. Rosen BBA 4 - M2,[EW8]
[A. Rosen] Corporate Financial Decision Making,19.02.2020,16:00,19.02.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[A. Rosen] Economics,20.02.2020,08:10,20.02.2020,09:55,A. Rosen BBA 4 - M4,[309]
[A. Rosen] Corporate Financial Decision Making,20.02.2020,11:10,20.02.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[A. Rosen] Corporate Financial Decision Making,20.02.2020,13:00,20.02.2020,13:50,BBA 7 - G1 Finance Group 1 A. Rosen,[213]
[A. Rosen] Economics,20.02.2020,13:55,20.02.2020,15:40,A. Rosen BBA 4 - M3,[213]
[A. Rosen] Economics,21.02.2020,08:10,21.02.2020,09:55,A. Rosen BBA 4 - M5,[309]
[A. Rosen] Hospitality Financial Management and Budgeting,21.02.2020,10:15,21.02.2020,12:00,A. Rosen MBA 1,[309]
[A. Rosen] Economics,21.02.2020,14:50,21.02.2020,16:50,A. Rosen BBA 4 - M1,[309]
[A. Rosen] Hospitality Financial Management and Budgeting,24.02.2020,13:55,24.02.2020,15:40,A. Rosen MBA 1,[213]
[A. Rosen] Economics,25.02.2020,08:10,25.02.2020,09:55,A. Rosen BBA 4 - M6,[309]
[A. Rosen] Corporate Finance and Shareholder Value,25.02.2020,11:10,25.02.2020,12:55,A. Rosen MBA 2 b MBA 2 b (revenue),[309]
[A. Rosen] Corporate Finance and Shareholder Value,25.02.2020,13:55,25.02.2020,15:40,A. Rosen MBA 2 a,[309]
[A. Rosen] Meeting,25.02.2020,16:00,25.02.2020,17:45
[A. Rosen] Economics,26.02.2020,10:15,26.02.2020,12:00,A. Rosen BBA 4 - M1,[309]
[A. Rosen] Economics,26.02.2020,13:00,26.02.2020,14:45,A. Rosen BBA 4 - M2,[206]
[A. Rosen] Corporate Financial Decision Making,26.02.2020,16:00,26.02.2020,17:45,BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[A. Rosen] Economics,27.02.2020,08:10,27.02.2020,09:55,A. Rosen BBA 4 - M4,[309]
[A. Rosen] Corporate Financial Decision Making,27.02.2020,11:10,27.02.2020,12:00,BBA 7 - G1 Finance Group 2 A. Rosen,[309]
[A. Rosen] Corporate Financial Decision Making,27.02.2020,13:00,27.02.2020,13:50,BBA 7 - G1 Finance Group 1 A. Rosen,[213]
